,state,demVote,year,south
855,Idaho,27.64,2000,False
856,Illinois,54.6,2000,False
857,Indiana,41.01,2000,False
858,Iowa,48.54,2000,False
859,Kansas,37.24,2000,False
860,Kentucky,41.37,2000,False
861,Louisiana,44.88,2000,True
862,Maine,49.09,2000,False
863,Maryland,56.57,2000,False
864,Massachusetts,59.8,2000,False
865,Michigan,51.28,2000,False
866,Minnesota,47.91,2000,False
867,Mississippi,40.7,2000,True
868,Missouri,47.08,2000,False
869,Montana,33.36,2000,False
870,Nebraska,33.25,2000,False
871,Nevada,45.98,2000,False
872,New Hampshire,46.8,2000,False
873,New Jersey,56.13,2000,False
874,New Mexico,47.91,2000,False
875,New York,60.21,2000,False
876,North Carolina,43.2,2000,True
877,North Dakota,33.05,2000,False
878,Ohio,46.46,2000,False
879,Oklahoma,38.43,2000,False
880,Oregon,46.96,2000,False
881,Pennsylvania,50.6,2000,False
882,Rhode Island,60.99,2000,False
883,South Carolina,40.91,2000,True
884,South Dakota,37.56,2000,False
885,Tennessee,47.28,2000,True
886,Texas,37.98,2000,True
887,Utah,26.34,2000,False
888,Vermont,50.63,2000,False
889,Virginia,44.44,2000,True
890,Washington,50.13,2000,False
891,West Virginia,45.59,2000,False
892,Wisconsin,47.83,2000,False
893,Wyoming,27.7,2000,False
894,Alabama,36.84,2004,True
895,Alaska,35.52,2004,False
896,Arizona,44.4,2004,False
897,Arkansas,44.55,2004,True
898,California,54.31,2004,False
899,Colorado,47.02,2004,False
900,Connecticut,54.31,2004,False
901,Delaware,53.35,2004,False
902,DC,89.18,2004,False
903,Florida,47.09,2004,True
904,Georgia,41.37,2004,True
905,Hawaii,54.01,2004,False
906,Idaho,30.26,2004,False
907,Illinois,54.82,2004,False
908,Indiana,39.26,2004,False
909,Iowa,49.23,2004,False
910,Kansas,36.62,2004,False
911,Kentucky,39.69,2004,False
912,Louisiana,42.22,2004,True
913,Maine,53.57,2004,False
914,Maryland,55.91,2004,False
915,Massachusetts,61.94,2004,False
916,Michigan,51.23,2004,False
917,Minnesota,51.09,2004,False
918,Mississippi,39.75,2004,True
919,Missouri,46.1,2004,False
920,Montana,38.56,2004,False
921,Nebraska,32.68,2004,False
922,Nevada,47.88,2004,False
923,New Hampshire,50.24,2004,False
924,New Jersey,52.92,2004,False
925,New Mexico,49.05,2004,False
926,New York,58.37,2004,False
927,North Carolina,43.58,2004,True
928,North Dakota,35.5,2004,False
929,Ohio,48.71,2004,False
930,Oklahoma,34.43,2004,False
931,Oregon,51.35,2004,False
932,Pennsylvania,50.92,2004,False
933,Rhode Island,59.42,2004,False
934,South Carolina,40.9,2004,True
935,South Dakota,38.44,2004,False
936,Tennessee,42.53,2004,True
937,Texas,38.22,2004,True
938,Utah,26.0,2004,False
939,Vermont,58.94,2004,False
940,Virginia,45.48,2004,True
941,Washington,52.82,2004,False
942,West Virginia,43.2,2004,False
943,Wisconsin,49.7,2004,False
944,Wyoming,29.07,2004,False
945,Alabama,38.74,2008,True
946,Alaska,37.89,2008,False
947,Arizona,44.91,2008,False
948,Arkansas,38.86,2008,True
949,California,60.94,2008,False
950,Colorado,53.66,2008,False
951,Connecticut,60.59,2008,False
952,Delaware,61.91,2008,False
953,DC,92.46,2008,False
954,Florida,50.91,2008,True
955,Georgia,46.9,2008,True
956,Hawaii,71.85,2008,False
957,Idaho,35.91,2008,False
958,Illinois,61.85,2008,False
959,Indiana,49.86,2008,False
960,Iowa,53.93,2008,False
961,Kansas,41.57,2008,False
962,Kentucky,41.15,2008,False
963,Louisiana,39.93,2008,True
964,Maine,57.71,2008,False
965,Maryland,61.92,2008,False
966,Massachusetts,61.8,2008,False
967,Michigan,57.33,2008,False
968,Minnesota,54.06,2008,False
969,Mississippi,43.0,2008,True
970,Missouri,49.23,2008,False
971,Montana,47.11,2008,False
972,Nebraska,41.6,2008,False
973,Nevada,55.15,2008,False
974,New Hampshire,54.13,2008,False
975,New Jersey,57.14,2008,False
976,New Mexico,56.91,2008,False
977,New York,62.88,2008,False
978,North Carolina,49.7,2008,True
979,North Dakota,44.5,2008,False
980,Ohio,51.38,2008,False
981,Oklahoma,34.35,2008,False
982,Oregon,56.75,2008,False
983,Pennsylvania,54.47,2008,False
984,Rhode Island,62.86,2008,False
985,South Carolina,44.9,2008,True
986,South Dakota,44.75,2008,False
987,Tennessee,41.79,2008,True
988,Texas,43.63,2008,True
989,Utah,34.22,2008,False
990,Vermont,67.46,2008,False
991,Virginia,52.63,2008,True
992,Washington,57.34,2008,False
993,West Virginia,42.51,2008,False
994,Wisconsin,56.22,2008,False
995,Wyoming,32.54,2008,False
996,Alabama,38.36,2012,True
997,Alaska,40.81,2012,False
998,Arizona,44.45,2012,False
999,Arkansas,36.88,2012,True
1000,California,60.19,2012,False
1001,Colorado,51.45,2012,False
1002,Connecticut,58.06,2012,False
1003,DC,90.91,2012,False
1004,Delaware,58.61,2012,False
1005,Florida,49.91,2012,True
1006,Georgia,45.43,2012,True
1007,Hawaii,70.55,2012,False
1008,Idaho,32.4,2012,False
1009,Illinois,57.55,2012,False
1010,Indiana,43.85,2012,False
1011,Iowa,51.99,2012,False
1012,Kansas,37.99,2012,False
1013,Kentucky,37.8,2012,False
1014,Louisiana,40.58,2012,True
1015,Maine,56.27,2012,False
1016,Maryland,61.97,2012,False
1017,Massachusetts,60.65,2012,False
1018,Michigan,54.09,2012,False
1019,Minnesota,52.65,2012,False
1020,Mississippi,43.79,2012,True
1021,Missouri,44.38,2012,False
1022,Montana,41.66,2012,False
1023,Nebraska,38.03,2012,False
1024,Nevada,52.36,2012,False
1025,New Hampshire,51.98,2012,False
1026,New Jersey,58.25,2012,False
1027,New Mexico,52.99,2012,False
1028,New York,63.33,2012,False
1029,North Carolina,48.35,2012,True
1030,North Dakota,38.7,2012,False
1031,Ohio,50.58,2012,False
1032,Oklahoma,33.23,2012,False
1033,Oregon,54.24,2012,False
1034,Pennsylvania,51.96,2012,False
1035,Rhode Island,62.7,2012,False
1036,South Carolina,44.09,2012,True
1037,South Dakota,39.87,2012,False
1038,Tennessee,39.04,2012,True
1039,Texas,41.37,2012,True
1040,Utah,24.67,2012,False
1041,Vermont,66.57,2012,False
1042,Virginia,51.16,2012,True
1043,Washington,55.81,2012,False
1044,West Virginia,35.53,2012,False
1045,Wisconsin,52.83,2012,False
1046,Wyoming,27.82,2012,False
1047,Alabama,34.36,2016,True
1048,Alaska,36.55,2016,False
1049,Arizona,44.58,2016,False
1050,Arkansas,33.65,2016,True
1051,California,61.48,2016,False
1052,Colorado,48.16,2016,False
1053,Connecticut,54.57,2016,False
1054,Delaware,53.09,2016,False
1055,DC,90.86,2016,False
1056,Florida,47.41,2016,True
1057,Georgia,45.35,2016,True
1058,Hawaii,62.22,2016,False
1059,Idaho,27.48,2016,False
1060,Illinois,55.24,2016,False
1061,Indiana,37.46,2016,False
1062,Iowa,41.74,2016,False
1063,Kansas,35.74,2016,False
1064,Kentucky,32.68,2016,False
1065,Louisiana,38.45,2016,True
1066,Maine,47.83,2016,False
1067,Maryland,60.33,2016,False
1068,Massachusetts,60.01,2016,False
1069,Michigan,47.03,2016,False
1070,Minnesota,46.44,2016,False
1071,Mississippi,40.06,2016,True
1072,Missouri,37.87,2016,False
1073,Montana,35.41,2016,False
1074,Nebraska,33.7,2016,False
1075,Nevada,47.92,2016,False
1076,New Hampshire,46.83,2016,False
1077,New Jersey,54.99,2016,False
1078,New Mexico,48.26,2016,False
1079,New York,59.0,2016,False
1080,North Carolina,46.17,2016,True
1081,North Dakota,27.23,2016,False
1082,Ohio,43.24,2016,False
1083,Oklahoma,28.93,2016,False
1084,Oregon,50.07,2016,False
1085,Pennsylvania,47.46,2016,False
1086,Rhode Island,54.41,2016,False
1087,South Carolina,40.67,2016,True
1088,South Dakota,31.74,2016,False
1089,Tennessee,34.72,2016,True
1090,Texas,43.12,2016,True
1091,Utah,27.17,2016,False
1092,Vermont,56.68,2016,False
1093,Virginia,49.75,2016,True
1094,Washington,52.54,2016,False
1095,West Virginia,26.18,2016,False
1096,Wisconsin,46.45,2016,False
